#Theta,Phi,Pol,Theta,Phi,Mag
-0.21817,-1.48353,1.57080,1.50452,2.40218,0.31991
-0.21817,-1.39626,1.57080,1.49571,2.38024,0.30912
-0.21817,-1.30900,1.57080,1.51986,2.35878,0.29608
-0.21817,-1.22173,1.57080,1.57781,2.33963,0.28216
-0.21817,-1.13446,1.57080,1.66430,2.32746,0.26996
-0.21817,-1.04720,1.57080,1.76762,2.32654,0.26141
-0.21817,-0.95993,1.57080,1.87852,2.33571,0.25643
-0.21817,-0.87266,1.57080,1.99329,2.35141,0.25427
-0.21817,-0.78540,1.57080,2.10356,2.37608,0.25473
-0.21817,-0.69813,1.57080,2.19540,2.41766,0.25728
-0.21817,-0.61087,1.57080,2.26474,2.47823,0.26075
-0.21817,-0.52360,1.57080,2.32225,2.54984,0.26426
-0.21817,-0.43633,1.57080,2.37987,2.62471,0.26731
-0.21817,-0.34907,1.57080,2.43821,2.70410,0.26968
-0.21817,-0.26180,1.57080,2.48932,2.79451,0.27127
-0.21817,-0.17453,1.57080,2.52659,2.89960,0.27214
-0.21817,-0.08727,1.57080,2.54823,3.01722,0.27251
-0.21817,0.00000,1.57080,2.55521,-3.14159,0.27261
-0.21817,0.08727,1.57080,2.54820,-3.01723,0.27252
-0.21817,0.17453,1.57080,2.52652,-2.89963,0.27215
-0.21817,0.26180,1.57080,2.48922,-2.79455,0.27127
-0.21817,0.34907,1.57080,2.43813,-2.70415,0.26968
-0.21817,0.43633,1.57080,2.37980,-2.62477,0.26732
-0.21817,0.52360,1.57080,2.32223,-2.54987,0.26426
-0.21817,0.61087,1.57080,2.26475,-2.47827,0.26077
-0.21817,0.69813,1.57080,2.19544,-2.41766,0.25728
-0.21817,0.78540,1.57080,2.10363,-2.37608,0.25474
-0.21817,0.87266,1.57080,1.99341,-2.35138,0.25428
-0.21817,0.95993,1.57080,1.87863,-2.33565,0.25643
-0.21817,1.04720,1.57080,1.76773,-2.32651,0.26141
-0.21817,1.13446,1.57080,1.66441,-2.32749,0.26996
-0.21817,1.22173,1.57080,1.57790,-2.33968,0.28217
-0.21817,1.30900,1.57080,1.51995,-2.35885,0.29610
-0.21817,1.39626,1.57080,1.49580,-2.38035,0.30915
-0.21817,1.48353,1.57080,1.50461,-2.40232,0.31996
-0.21817,1.57080,1.57080,1.54423,-2.42464,0.32869
-0.17453,-1.48353,0.00000,2.49917,2.49432,0.47909
-0.17453,-1.39626,0.00000,2.47490,2.51803,0.47355
